customer_id,order_date,order_time,sku,item_id,item_quantity,item_price,item_disc_bins_null,item_disc_bins_sub_twenty,item_disc_bins_sub_forty,item_disc_bins_sub_sixty,item_disc_bins_sub_eighty,item_disc_bins_sub_hundred
4445,2022-09-17,20:53:00,,Decideret - Spontan 2020 + 2021,1,44.0,1,0,0,0,0,0
4446,2022-09-17,20:45:57,,Wine Ambassador Series: Bürgerspital - 1700 - 1800,3,28.0,1,0,0,0,0,0
4447,2022-09-15,18:10:47,,Wine Ambassador Series: FRENCH THAT DON'T BREAK THE BANK - 1530 - 1630,2,38.0,1,0,0,0,0,0
4448,2022-09-15,15:28:37,,Wine Ambassador Series: FRENCH THAT DON'T BREAK THE BANK - 1700 - 1800,1,38.0,1,0,0,0,0,0
4449,2022-09-12,17:12:51,,Wine Ambassador Series: FRENCH THAT DON'T BREAK THE BANK - 1700 - 1800,2,38.0,1,0,0,0,0,0
4450,2022-08-06,16:56:11,,GranMonte Heritage Syrah 2019,1,53.0,0,1,0,0,0,0
4451,2022-07-26,22:10:02,,"Wine Ambassador Series: GranMonte, Thailand - 1530 - 1630",2,28.0,1,0,0,0,0,0
4452,2022-07-06,13:27:57,,"Wine Ambassador Series: Canaan Wine Estate, China - 1500 - 1600",2,36.0,1,0,0,0,0,0
4452,2022-07-06,13:27:57,BBW-SAKE-009,Gekkeikan Yamada Nishiki Tokubetsu Junmai - 300 ML,1,15.0,1,0,0,0,0,0
4452,2022-07-06,13:27:57,BBW-WINE-475,Anatolikos Malagousia Wild White 2020,1,52.0,1,0,0,0,0,0
4452,2022-07-06,13:27:57,BBW-WINE-280,Villa Sparina Gavi di Gavi DOC 2018 - Single Bottle,1,47.0,1,0,0,0,0,0
4452,2022-07-06,13:27:57,,Bertani Ripasso Valpolicella 2019,1,58.0,1,0,0,0,0,0
4452,2022-07-06,13:27:57,,Gonzo Vino Mouth Lube 2021,1,185.0,1,0,0,0,0,0
4453,2022-04-09,11:06:15,,Bruno Roca curra,1,168.0,1,0,0,0,0,0
